,Estimate,Std. Error,t value,Pr(>|t|)
(Intercept),-29.47491105,7.64654858,-3.854668644,0.000148692
WEIGHT,-0.10654314,0.028890785,-3.687789724,0.000279557
ABDOMEN,0.872013127,0.051818609,16.82818478,1.51E-42
THIGH,0.126231704,0.100844352,1.251747879,0.211875303
WRIST,-1.134166923,0.410388635,-2.763641156,0.006157439
