"","R-squared","Adjusted R-squared","MSE","p.value","vif.max"
"m1",0.740017302082801,0.731204329272049,13.8846526547669,0.239260549042191,11.5231783936121
"m2",0.72726410772495,0.722718509520365,14.565750571344,0.217746969516334,5.19909466516689
