,Estimate,Std. Error,t value,Pr(>|t|)
(Intercept),-24.94707388,8.584344931,-2.906112707,0.004121765
WEIGHT,-0.098971738,0.032354015,-3.059024893,0.002561822
ABDOMEN,0.834469755,0.0585649,14.24863271,2.78E-31
THIGH,0.243277348,0.113789917,2.137951722,0.033877216
WRIST,-1.633335112,0.454964443,-3.590028053,0.000426828
