"","coefficients.Estimate","coefficients.Std..Error","coefficients.t.value","coefficients.Pr...t..","Adjusted.R.squared.","R.squared.","MSE."
"(Intercept)",-23.8679650046763,6.20448215991214,-3.84689074599809,0.000153056066408506,0.714584792982561,0.718079673068489,16.3829912319649
"WEIGHT",-0.0835077279149581,0.0222976182834316,-3.74514115604037,0.000225384866377088,0.714584792982561,0.718079673068489,16.3829912319649
"ABDOMEN",0.869890305111373,0.0518514738396026,16.776578189509,1.99619413140032e-42,0.714584792982561,0.718079673068489,16.3829912319649
"WRIST",-1.24546008163179,0.40111071207682,-3.10502822321349,0.00212923394576859,0.714584792982561,0.718079673068489,16.3829912319649
